kod_stacji;nazwa_stacji;wojewodztwo_zrodlo;miejscowosc_zrodlo;adres;wgs84_fi_n;wgs84_lambda_e;kod_simc;korekta_powod
MpKrakTelime;Kraków, ul. Telimeny;MAŁOPOLSKIE;KRAKÓW;ul. Telimeny 9;50.019036;20.016822;0950463;same_gmina_unique
MpKrakWadow;Kraków, os. Wadów;MAŁOPOLSKIE;KRAKÓW;Wadów;50.100569;20.122561;0950463;same_gmina_unique
MpKrakZloRog;Kraków, ul. Złoty Róg;MAŁOPOLSKIE;KRAKÓW;Złoty Róg;50.081197;19.895358;0950463;same_gmina_unique
MpKrynicWSSENowo1002;Krynica Nowotarskiego RWM;MAŁOPOLSKIE;KRYNICA;ul. Nowotarskiego RWM;-999.0;-999.0;0960390;manual: Krynica -> Krynica-Zdrój
MpMiechoWIOSKono0802;Miechów, ul. Konopnickiej;MAŁOPOLSKIE;MIECHÓW;ul. Konopnickiej;50.360036;20.038672;0947225;same_gmina_unique
MpMiechoWIOSKsSk0801;Miechów Księdza Skorupki;MAŁOPOLSKIE;MIECHÓW;ul. Księdza Skorupki 5;50.354722;20.024722;0947225;same_gmina_unique
MpMyslenSoli;Myślenice;MAŁOPOLSKIE;MYŚLENICE;Solidarności 6;49.831237;19.923591;0951617;same_gmina_unique
MpMyslenWIOSKazi0901;Myslenice Kazimierza Wielkiego;MAŁOPOLSKIE;MYŚLENICE;ul. Kazimierza Wielkiego 199;-999.0;-999.0;0951617;same_gmina_unique
MpMyslenWIOSKosc0902;Myślenice Kościuszki;MAŁOPOLSKIE;MYŚLENICE;ul. Kościuszki 16;49.826667;19.936389;0951617;same_gmina_unique
MpMyslenWIOSRyne0905;Mobilna Myślenice Rynek;MAŁOPOLSKIE;MYŚLENICE;ul. Rynek;49.835;19.938056;0951617;same_gmina_unique
MpMyslenWIOSRyne0906;Myślenice Rynek;MAŁOPOLSKIE;MYŚLENICE;ul. Rynek;49.835;19.938056;0951617;same_gmina_unique
MpMysleRynekMOB;Myślenice, Rynek;MAŁOPOLSKIE;MYŚLENICE;Rynek;49.834922;19.938114;0951617;same_gmina_unique
MpPiwnicWSSERyne1004;Piwniczna Rynek 2;MAŁOPOLSKIE;PIWNICZNA;ul. Rynek 2;49.4375;20.708611;0961768;manual: Piwniczna -> Piwniczna-Zdrój
MpPiwnZdrojoMOB;Piwniczna-Zdrój, ul. Zdrojowa;MAŁOPOLSKIE;PIWNICZNA;ul. Zdrojowa;49.444056;20.719889;0961768;manual: Piwniczna -> Piwniczna-Zdrój
MpTarBitStud;Tarnów, ul. Bitwy pod Studziankami;MAŁOPOLSKIE;TARNÓW;ul. Bitwy pod Studziankami;50.020169;21.004167;0981570;same_gmina_unique
MpTarnowWIOSSoli6303;Tarnów Al. Solidarności;MAŁOPOLSKIE;TARNÓW;al. Solidarności;50.016111;20.983611;0981570;same_gmina_unique
MpTarnowWSSEMosc6301;Tarnów ul.Mościckiego 10;MAŁOPOLSKIE;TARNÓW;ul. Mościckiego 10;50.006667;20.975278;0981570;same_gmina_unique
MpTarnowWSSEWest6302;Tarnów Westerplatte;MAŁOPOLSKIE;TARNÓW;ul. Westerplatte 10;50.023333;21.005;0981570;same_gmina_unique
MpTarRoSitko;Tarnów, ul. Ks. Romana Sitko;MAŁOPOLSKIE;TARNÓW;ul. Ks. Romana Sitko;50.018253;20.992578;0981570;same_gmina_unique
MpWielDembowMOB;Wieliczka, ul. Dembowskiego;MAŁOPOLSKIE;WIELICZKA;ul. Dembowskiego;49.98825;20.059;0952232;same_gmina_unique
MpWielicWIOSOSP1902;Wieliczka OSP;MAŁOPOLSKIE;WIELICZKA;ul. OSP Plac Targowy;49.975833;20.057778;0952232;same_gmina_unique
MpWysowaParkMOB;Wysowa-Zdrój, Park Zdrojowy;MAŁOPOLSKIE;UŚCIE GORLICKIE WYSOWA;Wysowa;49.440175;21.178087;0468370;manual: Wysowa -> Wysowa-Zdrój
MpWysowaWSSE0502;Uście Gorlickie Wysowa;MAŁOPOLSKIE;UŚCIE GORLICKIE WYSOWA;ul. Wysowa;49.424722;21.176389;0468370;manual: Wysowa -> Wysowa-Zdrój
MpZakopaSien;Zakopane, ul. Sienkiewicza;MAŁOPOLSKIE;ZAKOPANE;ul. Sienkiewicza;49.293564;19.960083;0963773;same_gmina_unique
MzBialaKmiciMOB;Biała, ul. Kmicica;MAZOWIECKIE;BIAŁA;ul. Andrzeja Kmicica 33;52.602534;19.6451;0576036;manual: Biała, gm. Stara Biała wg współrzędnych
MzGranicaKPN;Granica, KPN;MAZOWIECKIE;GRANICA;Kampinoski Park Narodowy;52.285858;20.454653;0003122;gmina_in_station_text
MzOstroHalle;Ostrołęka, ul. Hallera;MAZOWIECKIE;OSTROŁĘKA;ul. gen. J. Hallera 12;53.083736;21.579322;0966079;same_gmina_unique
